Timestamp,ID,Voltaje_V,Corriente_mA,Potencia_mW,mAh,mWh
2025-08-26 10:20:45.863,1,4.836,51.10,246.00,0.001419,0.006833
2025-08-26 10:20:45.962,2,4.836,51.10,246.00,0.002839,0.013667
2025-08-26 10:20:46.062,3,4.856,67.30,314.00,0.004708,0.022389
2025-08-26 10:20:46.161,4,4.380,209.70,914.00,0.010533,0.047778
2025-08-26 10:20:46.253,5,4.700,122.80,576.00,0.013944,0.063778
2025-08-26 10:20:46.360,6,4.692,123.50,580.00,0.017375,0.079889
2025-08-26 10:20:46.461,7,4.668,160.90,760.00,0.021844,0.101000
2025-08-26 10:20:46.561,8,4.676,120.80,564.00,0.025200,0.116667
2025-08-26 10:20:46.662,9,4.692,118.00,554.00,0.028478,0.132056
2025-08-26 10:20:46.757,10,4.696,122.70,576.00,0.031886,0.148056
2025-08-26 10:20:46.861,11,4.672,125.00,590.00,0.035358,0.164444
2025-08-26 10:20:46.961,12,4.688,123.80,580.00,0.038797,0.180556
2025-08-26 10:20:47.062,13,4.660,123.20,574.00,0.042219,0.196500
2025-08-26 10:20:47.162,14,4.688,126.90,580.00,0.045744,0.212611
2025-08-26 10:20:47.262,15,4.904,46.30,226.00,0.047031,0.218889
2025-08-26 10:20:47.353,16,4.904,46.70,230.00,0.048328,0.225278
2025-08-26 10:20:47.462,17,4.904,46.40,226.00,0.049617,0.231556
2025-08-26 10:20:47.561,18,4.700,121.60,570.00,0.052994,0.247389
2025-08-26 10:20:47.655,19,4.900,46.00,226.00,0.054272,0.253667
2025-08-26 10:20:47.757,20,4.904,46.10,226.00,0.055553,0.259944
2025-08-26 10:20:47.858,21,4.900,46.50,230.00,0.056844,0.266333
2025-08-26 10:20:47.959,22,4.900,46.60,226.00,0.058139,0.272611
2025-08-26 10:20:48.060,23,4.904,45.70,226.00,0.059408,0.278889
2025-08-26 10:20:48.161,24,4.692,139.10,574.00,0.063272,0.294833
2025-08-26 10:20:48.262,25,4.716,122.40,576.00,0.066672,0.310833
2025-08-26 10:20:48.362,26,4.908,46.80,230.00,0.067972,0.317222
2025-08-26 10:20:48.462,27,4.652,141.40,738.00,0.071900,0.337722
2025-08-26 10:20:48.554,28,4.848,65.20,314.00,0.073711,0.346444
2025-08-26 10:20:48.655,29,4.648,140.30,666.00,0.077608,0.364944
2025-08-26 10:20:48.758,30,4.652,140.90,656.00,0.081522,0.383167
2025-08-26 10:20:48.861,31,4.860,64.50,314.00,0.083314,0.391889
2025-08-26 10:20:48.958,32,4.852,64.10,312.00,0.085094,0.400556
2025-08-26 10:20:49.058,33,4.856,63.80,308.00,0.086867,0.409111
2025-08-26 10:20:49.162,34,4.656,145.00,672.00,0.090894,0.427778
2025-08-26 10:20:49.261,35,4.860,64.30,312.00,0.092681,0.436444
2025-08-26 10:20:49.358,36,4.860,64.20,312.00,0.094464,0.445111
2025-08-26 10:20:49.461,37,4.860,63.90,308.00,0.096239,0.453667
2025-08-26 10:20:49.563,38,4.860,63.90,312.00,0.098014,0.462333
2025-08-26 10:20:49.663,39,4.856,63.70,314.00,0.099783,0.471056
2025-08-26 10:20:49.763,40,4.860,64.30,312.00,0.101569,0.479722
