Timestamp,ID,Voltaje_V,Corriente_mA,Potencia_mW,mAh,mWh
2025-08-29 00:04:38.340,1,4.852,53.60,258.00,0.001489,0.007167
2025-08-29 00:04:38.442,2,4.852,52.70,256.00,0.002953,0.014278
2025-08-29 00:04:38.545,3,4.852,52.50,256.00,0.004411,0.021389
2025-08-29 00:04:38.641,4,4.804,70.60,246.00,0.006372,0.028222
2025-08-29 00:04:38.742,5,4.732,139.90,662.00,0.010258,0.046611
2025-08-29 00:04:38.845,6,4.756,126.80,600.00,0.013781,0.063278
2025-08-29 00:04:38.941,7,4.912,48.50,242.00,0.015128,0.070000
2025-08-29 00:04:39.043,8,4.912,48.30,236.00,0.016469,0.076556
2025-08-29 00:04:39.138,9,4.912,48.40,236.00,0.017814,0.083111
2025-08-29 00:04:39.243,10,4.912,48.80,240.00,0.019169,0.089778
2025-08-29 00:04:39.346,11,4.916,48.20,236.00,0.020508,0.096333
2025-08-29 00:04:39.439,12,4.912,48.70,240.00,0.021861,0.103000
2025-08-29 00:04:39.546,13,4.912,48.80,240.00,0.023217,0.109667
2025-08-29 00:04:39.639,14,4.912,48.40,240.00,0.024561,0.116333
2025-08-29 00:04:39.743,15,4.912,48.30,236.00,0.025903,0.122889
2025-08-29 00:04:39.846,16,4.912,48.90,240.00,0.027261,0.129556
2025-08-29 00:04:39.947,17,4.912,48.70,242.00,0.028614,0.136278
2025-08-29 00:04:40.043,18,4.912,48.30,236.00,0.029956,0.142833
2025-08-29 00:04:40.147,19,4.916,48.70,240.00,0.031308,0.149500
2025-08-29 00:04:40.243,20,4.912,49.10,240.00,0.032672,0.156167
2025-08-29 00:04:40.345,21,4.908,56.40,276.00,0.034239,0.163833
2025-08-29 00:04:40.446,22,4.760,125.30,596.00,0.037719,0.180389
2025-08-29 00:04:40.546,23,4.908,50.40,250.00,0.039119,0.187333
2025-08-29 00:04:40.641,24,4.760,141.60,682.00,0.043053,0.206278
2025-08-29 00:04:40.745,25,4.868,70.90,344.00,0.045022,0.215833
2025-08-29 00:04:40.841,26,4.708,148.90,702.00,0.049158,0.235333
2025-08-29 00:04:40.944,27,4.856,76.00,344.00,0.051269,0.244889
2025-08-29 00:04:41.040,28,4.872,85.50,416.00,0.053644,0.256444
2025-08-29 00:04:41.143,29,4.872,70.40,344.00,0.055600,0.266000
2025-08-29 00:04:41.244,30,4.704,149.50,702.00,0.059753,0.285500
2025-08-29 00:04:41.338,31,4.864,72.20,364.00,0.061758,0.295611
2025-08-29 00:04:41.439,32,4.868,69.80,340.00,0.063697,0.305056
2025-08-29 00:04:41.541,33,4.872,70.60,344.00,0.065658,0.314611
2025-08-29 00:04:41.645,34,4.848,74.60,354.00,0.067731,0.324444
2025-08-29 00:04:41.746,35,4.872,70.40,340.00,0.069686,0.333889
2025-08-29 00:04:41.838,36,4.868,70.30,340.00,0.071639,0.343333
2025-08-29 00:04:41.947,37,4.860,75.40,344.00,0.073733,0.352889
2025-08-29 00:04:42.042,38,4.868,77.00,374.00,0.075872,0.363278
2025-08-29 00:04:42.145,39,4.868,70.10,340.00,0.077819,0.372722
2025-08-29 00:04:42.246,40,4.864,71.00,344.00,0.079792,0.382278
2025-08-29 00:04:42.346,41,4.868,85.80,370.00,0.082175,0.392556
2025-08-29 00:04:42.446,42,4.868,70.60,344.00,0.084136,0.402111
2025-08-29 00:04:42.540,43,4.872,70.70,344.00,0.086100,0.411667
2025-08-29 00:04:42.643,44,4.848,76.30,344.00,0.088219,0.421222
2025-08-29 00:04:42.745,45,4.868,85.10,412.00,0.090583,0.432667
2025-08-29 00:04:42.847,46,4.872,70.70,344.00,0.092547,0.442222
2025-08-29 00:04:42.947,47,4.860,71.90,348.00,0.094544,0.451889
2025-08-29 00:04:43.045,48,4.872,75.80,370.00,0.096650,0.462167
2025-08-29 00:04:43.140,49,4.868,70.50,344.00,0.098608,0.471722
2025-08-29 00:04:43.245,50,4.872,71.00,344.00,0.100581,0.481278
2025-08-29 00:04:43.347,51,4.852,77.10,358.00,0.102722,0.491222
2025-08-29 00:04:43.441,52,4.868,70.70,340.00,0.104686,0.500667
