Timestamp,ID,Voltaje_V,Corriente_mA,Potencia_mW,mAh,mWh
2025-08-26 11:22:18.491,1,4.948,27.70,138.00,0.000769,0.003833
2025-08-26 11:22:18.590,2,4.892,52.20,256.00,0.002219,0.010944
2025-08-26 11:22:18.690,3,4.892,52.00,256.00,0.003664,0.018056
2025-08-26 11:22:18.790,4,4.868,68.60,324.00,0.005569,0.027056
2025-08-26 11:22:18.891,5,4.896,48.10,236.00,0.006906,0.033611
2025-08-26 11:22:18.987,6,4.896,48.60,240.00,0.008256,0.040278
2025-08-26 11:22:19.087,7,4.476,219.00,984.00,0.014339,0.067611
2025-08-26 11:22:19.190,8,4.728,117.90,550.00,0.017614,0.082889
2025-08-26 11:22:19.287,9,4.716,123.50,584.00,0.021044,0.099111
2025-08-26 11:22:19.387,10,4.900,48.30,236.00,0.022386,0.105667
2025-08-26 11:22:19.489,11,4.904,48.50,240.00,0.023733,0.112333
2025-08-26 11:22:19.591,12,4.896,48.20,236.00,0.025072,0.118889
2025-08-26 11:22:19.689,13,4.896,47.80,232.00,0.026400,0.125333
2025-08-26 11:22:19.791,14,4.896,47.60,232.00,0.027722,0.131778
2025-08-26 11:22:19.888,15,4.900,47.30,232.00,0.029036,0.138222
2025-08-26 11:22:19.991,16,4.900,47.40,232.00,0.030353,0.144667
2025-08-26 11:22:20.090,17,4.708,122.80,580.00,0.033764,0.160778
2025-08-26 11:22:20.189,18,4.896,47.00,230.00,0.035069,0.167167
2025-08-26 11:22:20.291,19,4.900,46.80,230.00,0.036369,0.173556
2025-08-26 11:22:20.388,20,4.900,47.60,232.00,0.037692,0.180000
2025-08-26 11:22:20.491,21,4.900,47.30,232.00,0.039006,0.186444
2025-08-26 11:22:20.590,22,4.896,46.80,230.00,0.040306,0.192833
2025-08-26 11:22:20.691,23,4.896,46.80,226.00,0.041606,0.199111
2025-08-26 11:22:20.790,24,4.900,47.20,232.00,0.042917,0.205556
2025-08-26 11:22:20.891,25,4.900,47.30,232.00,0.044231,0.212000
2025-08-26 11:22:20.988,26,4.712,124.40,594.00,0.047686,0.228500
2025-08-26 11:22:21.090,27,4.696,122.40,698.00,0.051086,0.247889
2025-08-26 11:22:21.190,28,4.848,68.40,330.00,0.052986,0.257056
2025-08-26 11:22:21.290,29,4.700,125.60,590.00,0.056475,0.273444
2025-08-26 11:22:21.390,30,4.660,142.80,666.00,0.060442,0.291944
2025-08-26 11:22:21.491,31,4.848,67.40,324.00,0.062314,0.300944
2025-08-26 11:22:21.590,32,4.656,142.30,662.00,0.066267,0.319333
2025-08-26 11:22:21.690,33,4.852,66.90,324.00,0.068125,0.328333
2025-08-26 11:22:21.791,34,4.856,66.90,324.00,0.069983,0.337333
2025-08-26 11:22:21.891,35,4.852,67.00,324.00,0.071844,0.346333
