Timestamp,ID,Voltaje_V,Corriente_mA,Potencia_mW,mAh,mWh
2025-08-28 23:21:08.278,1,4.728,52.80,250.00,0.001467,0.006944
2025-08-28 23:21:08.380,2,4.684,52.20,246.00,0.002917,0.013778
2025-08-28 23:21:08.482,3,4.564,51.50,236.00,0.004347,0.020333
2025-08-28 23:21:08.577,4,4.516,91.00,416.00,0.006875,0.031889
2025-08-28 23:21:08.679,5,4.716,125.40,594.00,0.010358,0.048389
2025-08-28 23:21:08.780,6,4.904,48.80,240.00,0.011714,0.055056
2025-08-28 23:21:08.876,7,4.904,48.60,240.00,0.013064,0.061722
2025-08-28 23:21:08.976,8,4.908,48.00,236.00,0.014397,0.068278
2025-08-28 23:21:09.079,9,4.904,48.90,240.00,0.015756,0.074944
2025-08-28 23:21:09.180,10,4.904,48.60,240.00,0.017106,0.081611
2025-08-28 23:21:09.276,11,4.704,125.60,590.00,0.020594,0.098000
2025-08-28 23:21:09.376,12,4.904,48.70,240.00,0.021947,0.104667
2025-08-28 23:21:09.478,13,4.688,126.50,594.00,0.025461,0.121167
2025-08-28 23:21:09.577,14,4.684,126.10,590.00,0.028964,0.137556
2025-08-28 23:21:09.682,15,4.668,125.70,586.00,0.032456,0.153833
2025-08-28 23:21:09.776,16,4.900,48.80,240.00,0.033811,0.160500
2025-08-28 23:21:09.878,17,4.680,123.80,580.00,0.037250,0.176611
2025-08-28 23:21:09.977,18,4.892,48.20,236.00,0.038589,0.183167
2025-08-28 23:21:10.080,19,4.672,132.10,240.00,0.042258,0.189833
2025-08-28 23:21:10.176,20,4.896,48.90,240.00,0.043617,0.196500
2025-08-28 23:21:10.276,21,4.656,125.70,586.00,0.047108,0.212778
2025-08-28 23:21:10.379,22,4.892,48.60,236.00,0.048458,0.219333
2025-08-28 23:21:10.480,23,4.896,48.70,240.00,0.049811,0.226000
2025-08-28 23:21:10.576,24,4.672,126.10,590.00,0.053314,0.242389
2025-08-28 23:21:10.681,25,4.656,127.30,594.00,0.056850,0.258889
2025-08-28 23:21:10.776,26,4.876,50.50,246.00,0.058253,0.265722
2025-08-28 23:21:10.878,27,4.888,54.90,268.00,0.059778,0.273167
2025-08-28 23:21:10.976,28,4.880,50.30,322.00,0.061175,0.282111
2025-08-28 23:21:11.081,29,4.884,53.20,250.00,0.062653,0.289056
2025-08-28 23:21:11.177,30,4.772,75.70,364.00,0.064756,0.299167
