Timestamp,ID,Voltaje_V,Corriente_mA,Potencia_mW,mAh,mWh
2025-08-27 01:03:32.455,1,4.952,27.90,138.00,0.000775,0.003833
2025-08-27 01:03:32.555,2,4.868,51.50,252.00,0.002206,0.010833
2025-08-27 01:03:32.655,3,4.872,51.30,252.00,0.003631,0.017833
2025-08-27 01:03:32.758,4,4.824,65.90,318.00,0.005461,0.026667
2025-08-27 01:03:32.855,5,4.504,220.20,980.00,0.011578,0.053889
2025-08-27 01:03:32.955,6,4.640,126.20,440.00,0.015083,0.066111
2025-08-27 01:03:33.055,7,4.660,123.60,574.00,0.018517,0.082056
2025-08-27 01:03:33.155,8,4.880,48.10,232.00,0.019853,0.088500
2025-08-27 01:03:33.255,9,4.676,123.10,576.00,0.023272,0.104500
2025-08-27 01:03:33.355,10,4.880,47.20,230.00,0.024583,0.110889
2025-08-27 01:03:33.458,11,4.884,47.20,230.00,0.025894,0.117278
2025-08-27 01:03:33.555,12,4.888,47.40,232.00,0.027211,0.123722
2025-08-27 01:03:33.656,13,4.884,47.40,232.00,0.028528,0.130167
2025-08-27 01:03:33.756,14,4.672,122.30,570.00,0.031925,0.146000
2025-08-27 01:03:33.855,15,4.696,122.40,574.00,0.035325,0.161944
2025-08-27 01:03:33.955,16,4.892,46.50,230.00,0.036617,0.168333
2025-08-27 01:03:34.057,17,4.892,46.40,230.00,0.037906,0.174722
2025-08-27 01:03:34.155,18,4.892,45.90,226.00,0.039181,0.181000
2025-08-27 01:03:34.257,19,4.892,45.80,222.00,0.040453,0.187167
2025-08-27 01:03:34.355,20,4.892,46.10,226.00,0.041733,0.193444
2025-08-27 01:03:34.455,21,4.896,46.50,226.00,0.043025,0.199722
2025-08-27 01:03:34.556,22,4.840,65.70,318.00,0.044850,0.208556
2025-08-27 01:03:34.655,23,4.848,46.20,226.00,0.046133,0.214833
2025-08-27 01:03:34.757,24,4.896,46.10,226.00,0.047414,0.221111
2025-08-27 01:03:34.855,25,4.680,121.70,602.00,0.050794,0.237833
2025-08-27 01:03:34.957,26,4.888,46.50,230.00,0.052086,0.244222
2025-08-27 01:03:35.055,27,4.636,140.80,652.00,0.055997,0.262333
2025-08-27 01:03:35.155,28,4.828,65.00,314.00,0.057803,0.271056
2025-08-27 01:03:35.255,29,4.616,139.80,652.00,0.061686,0.289167
2025-08-27 01:03:35.357,30,4.832,65.60,318.00,0.063508,0.298000
2025-08-27 01:03:35.456,31,4.648,139.30,750.00,0.067378,0.318833
2025-08-27 01:03:35.557,32,4.784,139.20,648.00,0.071244,0.336833
2025-08-27 01:03:35.655,33,4.640,144.00,668.00,0.075244,0.355389
2025-08-27 01:03:35.757,34,4.840,65.70,318.00,0.077069,0.364222
2025-08-27 01:03:35.858,35,4.632,141.00,652.00,0.080986,0.382333
2025-08-27 01:03:35.957,36,4.824,65.80,314.00,0.082814,0.391056
2025-08-27 01:03:36.058,37,4.824,65.10,314.00,0.084622,0.399778
2025-08-27 01:03:36.158,38,4.836,65.50,318.00,0.086442,0.408611
2025-08-27 01:03:36.255,39,4.832,65.40,318.00,0.088258,0.417444
2025-08-27 01:03:36.355,40,4.824,65.60,314.00,0.090081,0.426167
2025-08-27 01:03:36.456,41,4.820,64.90,312.00,0.091883,0.434833
2025-08-27 01:03:36.558,42,4.828,65.00,314.00,0.093689,0.443556
2025-08-27 01:03:36.655,43,4.824,65.20,314.00,0.095500,0.452278
2025-08-27 01:03:36.757,44,4.828,65.40,314.00,0.097317,0.461000
2025-08-27 01:03:36.857,45,4.632,141.60,656.00,0.101250,0.479222
2025-08-27 01:03:36.955,46,4.820,65.10,314.00,0.103058,0.487944
2025-08-27 01:03:37.055,47,4.820,64.90,312.00,0.104861,0.496611
2025-08-27 01:03:37.158,48,4.812,65.40,314.00,0.106678,0.505333
2025-08-27 01:03:37.257,49,4.816,65.50,318.00,0.108497,0.514167
2025-08-27 01:03:37.357,50,4.832,65.80,314.00,0.110325,0.522889
2025-08-27 01:03:37.457,51,4.832,65.00,314.00,0.112131,0.531611
2025-08-27 01:03:37.557,52,4.828,65.10,314.00,0.113939,0.540333
2025-08-27 01:03:37.657,53,4.828,65.50,318.00,0.115758,0.549167
2025-08-27 01:03:37.758,54,4.828,65.70,318.00,0.117583,0.558000
2025-08-27 01:03:37.855,55,4.824,65.10,314.00,0.119392,0.566722
2025-08-27 01:03:37.956,56,4.824,65.30,314.00,0.121206,0.575444
2025-08-27 01:03:38.055,57,4.820,65.00,314.00,0.123011,0.584167
2025-08-27 01:03:38.155,58,4.832,65.60,314.00,0.124833,0.592889
2025-08-27 01:03:38.255,59,4.828,65.60,318.00,0.126656,0.601722
2025-08-27 01:03:38.357,60,4.832,65.10,314.00,0.128464,0.610444
2025-08-27 01:03:38.457,61,4.828,65.10,314.00,0.130272,0.619167
2025-08-27 01:03:38.555,62,4.832,65.60,318.00,0.132094,0.628000
