Timestamp,ID,Voltaje_V,Corriente_mA,Potencia_mW,mAh,mWh
2025-08-28 10:48:36.831,1,4.956,54.10,268.00,0.001503,0.007444
2025-08-28 10:48:36.923,2,4.960,53.00,262.00,0.002975,0.014722
2025-08-28 10:48:37.025,3,4.964,53.00,262.00,0.004447,0.022000
2025-08-28 10:48:37.126,4,4.948,68.80,340.00,0.006358,0.031444
2025-08-28 10:48:37.232,5,4.848,136.10,666.00,0.010139,0.049944
2025-08-28 10:48:37.323,6,4.896,127.30,622.00,0.013675,0.067222
2025-08-28 10:48:37.424,7,4.964,48.70,242.00,0.015028,0.073944
2025-08-28 10:48:37.527,8,4.968,49.10,246.00,0.016392,0.080778
2025-08-28 10:48:37.628,9,4.900,127.60,626.00,0.019936,0.098167
2025-08-28 10:48:37.730,10,4.968,48.50,240.00,0.021283,0.104833
2025-08-28 10:48:37.822,11,4.896,126.70,620.00,0.024803,0.122056
2025-08-28 10:48:37.924,12,4.964,49.40,246.00,0.026175,0.128889
2025-08-28 10:48:38.026,13,4.900,127.50,626.00,0.029717,0.146278
2025-08-28 10:48:38.131,14,4.964,48.50,242.00,0.031064,0.153000
2025-08-28 10:48:38.228,15,4.968,49.50,242.00,0.032439,0.159722
2025-08-28 10:48:38.330,16,4.900,127.90,626.00,0.035992,0.177111
2025-08-28 10:48:38.432,17,4.968,48.70,242.00,0.037344,0.183833
2025-08-28 10:48:38.531,18,4.968,48.60,242.00,0.038694,0.190556
2025-08-28 10:48:38.625,19,4.968,49.40,246.00,0.040067,0.197389
2025-08-28 10:48:38.730,20,4.968,49.20,246.00,0.041433,0.204222
2025-08-28 10:48:38.831,21,4.964,48.70,242.00,0.042786,0.210944
2025-08-28 10:48:38.922,22,4.968,49.00,242.00,0.044147,0.217667
2025-08-28 10:48:39.029,23,4.964,49.50,246.00,0.045522,0.224500
2025-08-28 10:48:39.131,24,4.964,49.00,242.00,0.046883,0.231222
2025-08-28 10:48:39.231,25,4.964,48.70,242.00,0.048236,0.237944
2025-08-28 10:48:39.331,26,4.884,147.20,774.00,0.052325,0.259444
2025-08-28 10:48:39.430,27,4.900,125.50,616.00,0.055811,0.276556
2025-08-28 10:48:39.531,28,4.888,124.70,610.00,0.059275,0.293500
2025-08-28 10:48:39.632,29,4.968,49.00,242.00,0.060636,0.300222
2025-08-28 10:48:39.722,30,4.896,127.80,616.00,0.064186,0.317333
2025-08-28 10:48:39.824,31,4.952,70.30,348.00,0.066139,0.327000
2025-08-28 10:48:39.926,32,4.948,69.50,344.00,0.068069,0.336556
2025-08-28 10:48:40.027,33,4.948,71.40,354.00,0.070053,0.346389
2025-08-28 10:48:40.130,34,4.944,71.50,370.00,0.072039,0.356667
2025-08-28 10:48:40.231,35,4.944,72.10,358.00,0.074042,0.366611
2025-08-28 10:48:40.324,36,4.944,71.10,350.00,0.076017,0.376333
2025-08-28 10:48:40.431,37,4.936,80.70,376.00,0.078258,0.386778
2025-08-28 10:48:40.532,38,4.948,72.30,358.00,0.080267,0.396722
2025-08-28 10:48:40.632,39,4.944,71.00,350.00,0.082239,0.406444
2025-08-28 10:48:40.732,40,4.944,75.50,350.00,0.084336,0.416167
2025-08-28 10:48:40.823,41,4.948,71.30,374.00,0.086317,0.426556
2025-08-28 10:48:40.925,42,4.944,72.20,358.00,0.088322,0.436500
2025-08-28 10:48:41.027,43,4.944,71.20,354.00,0.090300,0.446333
2025-08-28 10:48:41.129,44,4.940,78.40,368.00,0.092478,0.456556
2025-08-28 10:48:41.228,45,4.948,71.70,354.00,0.094469,0.466389
2025-08-28 10:48:41.330,46,4.944,71.50,354.00,0.096456,0.476222
2025-08-28 10:48:41.422,47,4.944,75.50,374.00,0.098553,0.486611
2025-08-28 10:48:41.524,48,4.948,71.90,370.00,0.100550,0.496889
2025-08-28 10:48:41.626,49,4.948,72.30,358.00,0.102558,0.506833
2025-08-28 10:48:41.729,50,4.944,71.50,354.00,0.104544,0.516667
2025-08-28 10:48:41.831,51,4.944,82.50,374.00,0.106836,0.527056
2025-08-28 10:48:41.923,52,4.948,72.00,354.00,0.108836,0.536889
2025-08-28 10:48:42.025,53,4.944,71.90,358.00,0.110833,0.546833
